state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn,churn_0_1
OH,107,area_code_415,no,yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,no,0
NJ,137,area_code_415,no,no,0,243.4,114,121.2,110,162.6,104,12.2,5,0,no,0
OH,84,area_code_408,yes,no,0,299.4,71,61.9,88,196.9,89,6.6,7,2,no,0
OK,75,area_code_415,yes,no,0,166.7,113,148.3,122,186.9,121,10.1,3,3,no,0
MA,121,area_code_510,no,yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,no,0
MO,147,area_code_415,yes,no,0,157.0,79,103.1,94,211.8,96,7.1,6,0,no,0
LA,117,area_code_408,no,no,0,184.5,97,351.6,80,215.8,90,8.7,4,1,no,0
WV,141,area_code_415,yes,yes,37,258.6,84,222.0,111,326.4,97,11.2,5,0,no,0
IN,65,area_code_415,no,no,0,129.1,137,228.5,83,208.8,111,12.7,6,4,yes,1
RI,74,area_code_415,no,no,0,187.7,127,163.4,148,196.0,94,9.1,5,0,no,0
IA,168,area_code_408,no,no,0,128.8,96,104.9,71,141.1,128,11.2,2,1,no,0
MT,95,area_code_510,no,no,0,156.6,88,247.6,75,192.3,115,12.3,5,3,no,0
NY,161,area_code_415,no,no,0,332.9,67,317.8,97,160.6,128,5.4,9,4,yes,1
ID,85,area_code_408,no,yes,27,196.4,139,280.9,90,89.3,75,13.8,4,1,no,0
VA,76,area_code_510,no,yes,33,189.7,66,212.8,65,165.7,108,10.0,5,1,no,0
TX,73,area_code_415,no,no,0,224.4,90,159.5,88,192.8,74,13.0,2,1,no,0
FL,147,area_code_415,no,no,0,155.1,117,239.7,93,208.8,133,10.6,4,0,no,0
CO,77,area_code_408,no,no,0,62.4,89,169.9,121,209.6,64,5.7,6,5,yes,1
AZ,130,area_code_415,no,no,0,183.0,112,72.9,99,181.8,78,9.5,19,0,no,0
SC,111,area_code_415,no,no,0,110.4,103,137.3,102,189.6,105,7.7,6,2,no,0
VA,132,area_code_510,no,no,0,81.1,86,245.2,72,237.0,115,10.3,2,0,no,0
WY,57,area_code_408,no,yes,39,213.0,115,191.1,112,182.7,115,9.5,3,0,no,0
MT,54,area_code_408,no,no,0,134.3,73,155.5,100,102.1,68,14.7,4,3,no,0
MO,20,area_code_415,no,no,0,190.0,109,258.2,84,181.5,102,6.3,6,0,no,0
HI,49,area_code_510,no,no,0,119.3,117,215.1,109,178.7,90,11.1,1,1,no,0
NH,75,area_code_510,no,no,0,226.1,105,201.5,107,246.2,98,10.3,5,1,no,0
AZ,12,area_code_408,no,no,0,249.6,118,252.4,119,280.2,90,11.8,3,1,yes,1
OK,57,area_code_408,no,yes,25,176.8,94,195.0,75,213.5,116,8.3,4,0,no,0
AK,36,area_code_408,no,yes,30,146.3,128,162.5,80,129.3,109,14.5,6,0,no,0
MA,78,area_code_415,no,no,0,130.8,64,223.7,116,227.8,108,10.0,5,1,no,0
AK,136,area_code_415,yes,yes,33,203.9,106,187.6,99,101.7,107,10.5,6,3,no,0
GA,98,area_code_408,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,3,no,0
MD,135,area_code_408,yes,yes,41,173.1,85,203.9,107,122.2,78,14.6,15,0,yes,1
AR,34,area_code_510,no,no,0,124.8,82,282.2,98,311.5,78,10.0,4,2,no,0
ID,160,area_code_415,no,no,0,85.8,77,165.3,110,178.5,92,9.2,4,3,no,0
WI,64,area_code_510,no,no,0,154.0,67,225.8,118,265.3,86,3.5,3,1,no,0
OR,59,area_code_408,no,yes,28,120.9,97,213.0,92,163.1,116,8.5,5,2,no,0
MI,65,area_code_415,no,no,0,211.3,120,162.6,122,134.7,118,13.2,5,3,no,0
